"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","NOME_URNA_CANDIDATO","COD_SIT_TOT_TURNO"
"240",90,900000,"GEORGE",5
"241",10,900000,"ANDRÉ ABDON",3
"242",20,3000000,"REGIANE",5
"243",51,900000,"PABLO TEIXEIRA",5
"244",20,3000000,"DRª. DENISE MORELLI",5
"245",14,800000,"CAP. SOCORRO",5
"246",45,6000000,"MARCIA MAFFRA",4
"247",25,-1,"ELISANGELA DE JESUS",-1
"248",25,-1,"APÓSTOLO JOÃO MARCOS",-1
"249",77,6000000,"PROF. CLESIO PATCHACO",4
"250",15,980000,"FÁTIMA PELAES",5
"251",50,2000000,"PROF. RILDO",5
"252",15,980000,"AMARILDO PORTO",5
"253",28,2000000,"NASCIMENTO MACHO VELHO",5
"254",40,1100000,"JANETE",2
"255",90,900000,"JURANDIL JUAREZ",5
"256",27,400000,"PROFESSORA ZILMA",5
"257",43,400000,"GRILO",5
"258",12,850000,"TEKA GÓES",5
"259",12,850000,"TENENTE MARIZETE",5
"260",12,850000,"IRA RODRIGUES",5
"261",15,980000,"CABUÇU",3
"262",28,2000000,"TONI BLANC",5
"263",28,2000000,"CAMILO S.O.S",5
"264",20,3000000,"TEN. PM ANTONIO LUIZ",5
"265",55,12000000,"KELLE CRISTIANE",4
"266",65,-1,"LOYANNA SANTANA",-1
"267",50,2000000,"ROSETE",5
"268",54,1500000,"DRª. ALZENIR",5
"269",13,1600000,"EMERSON SILVEIRA",5
"270",65,1600000,"MILHOMEN",5
"271",50,2000000,"MACEDO",5
"272",54,1500000,"ODILON",5
"273",70,900000,"DR. OFIRNEY SADALA",5
"274",27,400000,"PROFESSORA SIDIANE",5
"275",15,980000,"JACI SIQUEIRA",5
"276",15,980000,"MARIA",5
"277",20,3000000,"PATRICIA FERRAZ",5
"278",36,2000000,"AGORD PINTO",5
"279",54,1500000,"JORGE AMARAL",5
"280",50,2000000,"CLEONICE",5
"281",11,500000,"EURICELIA CARDOSO",5
"282",55,12000000,"SENA",4
"283",12,850000,"ROBERTO GÓES",2
"284",65,1600000,"REITOR TAVARES",5
"285",50,-1,"IRMÃ TOINHA",-1
"286",50,-1,"ARIMATEIA",-1
"287",45,-1,"CLAY PALMEIRA",-1
"288",22,3500000,"VINÍCIUS GURGEL",2
"289",22,3500000,"WILLIAM SOUZA",5
"290",90,900000,"PEDRO FILÉ",5
"291",70,900000,"DR ELIZOMAR",5
"292",12,850000,"PROF. JAILSON",5
"293",14,800000,"JOZI ROCHA",3
"294",25,7500000,"ALBERTO ALCOLUMBRE",4
"295",25,7500000,"ANDRÉ BALIEIRO",4
"296",77,6000000,"BALA ROCHA",4
"297",13,1600000,"DALVA FIGUEIREDO",5
"298",51,900000,"APARECIDA",5
"299",13,1600000,"ROCHA DO SUCATÃO",5
"300",25,7500000,"TADEU TRAJANO",4
"301",50,2000000,"CRISTIANO LUCENA",5
"302",36,1000000,"WALFRAN TORRES",5
"303",10,2000000,"PASTOR NILMAR",5
"304",13,2000000,"JOÃO PEDRO",5
"305",77,1000000,"ANA DE ' CARLI",5
"306",40,1000000,"CARLOS PORTTA",4
"307",55,3000000,"ATILA LINS",3
"308",44,2000000,"LUIZ ANTONIO",4
