Ano;Sigla;Codigo;Estado;Domicilios com agua potavel;Domicilios com instalacao adequada de esgoto;PEA;Taxa de Desemprego;Coeficiente_de_Gini;# Domilicios com Extrema Pobreza;# Domilicios com Pobreza;Analfabetos mais de 25;Anos de estudo medio mais de 25
2004;RO;11;Rondônia;0,82;0,36;482892,00;6,1;0,516;29503,00;118824,00;1,33;5,6
2004;RR;14;Roraima;0,86;0,78;123809,00;10,7;0,583;24515,00;46341,00;1,99;6,2
2004;RS;43;Rio Grande do Sul;0,97;0,79;5553165,00;6,8;0,528;170975,00;560322,00;1,21;6,8
2004;SC;42;Santa Catarina;0,98;0,8;3190692,00;4,7;0,461;40177,00;172951,00;0,82;6,9
2004;SE;28;Sergipe;0,86;0,73;954208,00;11,1;0,561;75622,00;204577,00;6,48;5,8
2004;SP;35;São Paulo;0,99;0,9;20006317,00;11,5;0,528;521605,00;1843902,00;0,73;7,4
2004;TO;17;Tocantins;0,75;0,27;595128,00;5,5;0,551;46768,00;123845,00;3,58;5,4
2006;AC;12;Acre;0,55;0,39;224031,00;8,6;0,592;18956,00;54937,00;4,91;5,7
2006;AL;27;Alagoas;0,69;0,28;1207831,00;10,6;0,627;152518,00;371501,00;8,19;4,7
2006;AM;13;Amazonas;0,82;0,57;1114179,00;9,4;0,514;70320,00;235120,00;2,62;7,2
2006;AP;16;Amapá;0,8;0,27;221640,00;6,7;0,475;9995,00;36090,00;1,01;7,4
2006;BA;29;Bahia;0,76;0,5;6453772,00;10,2;0,557;538671,00;1431113,00;4,07;5,3
2006;CE;23;Ceará;0,76;0,41;3840476,00;8,4;0,548;347173,00;823627,00;4,62;5,4
2006;DF;53;Distrito Federal;0,99;0,94;1275495,00;11,6;0,607;24625,00;85685,00;0,77;9,2
2006;ES;32;Espírito Santo;0,97;0,74;1785967,00;7,5;0,537;36634,00;123041,00;1,68;6,8
2006;GO;52;Goiás;0,98;0,36;2898191,00;7,6;0,51;57155,00;213620,00;1,25;6,5
2006;MA;21;Maranhão;0,61;0,49;2698755,00;8,4;0,595;333948,00;705951,00;6,62;4,8
2006;MG;31;Minas Gerais;0,95;0,75;9770823,00;8,7;0,528;184112,00;693911,00;1,4;6,4
2006;MS;50;Mato Grosso do Sul;0,98;0,22;1208519,00;8,5;0,533;28116,00;82787,00;1;6,6
2006;MT;51;Mato Grosso;0,9;0,34;1434009,00;9,1;0,53;33925,00;115344,00;1,09;6,3
2006;PA;15;Pará;0,62;0,5;2207660,00;9,3;0,505;177431,00;582965,00;3,63;5,7
2006;PB;25;Paraíba;0,8;0,48;1688698,00;8,7;0,565;113418,00;353392,00;4,98;5
2006;PE;26;Pernambuco;0,78;0,39;3790520,00;11,3;0,582;381350,00;955325,00;5,2;5,7
2006;PI;22;Piauí;0,63;0,61;1410013,00;5,3;0,599;172042,00;350822,00;7,02;4,7
2006;PR;41;Paraná;0,99;0,69;5370644,00;7,4;0,519;118771,00;440493,00;0,97;7
2006;RJ;33;Rio de Janeiro;0,98;0,9;7765466,00;11,9;0,555;165292,00;633151,00;0,96;8
2006;RN;24;Rio Grande do Norte;0,83;0,45;1395142,00;9,7;0,561;98844,00;289364,00;6,36;5,5
2006;RO;11;Rondônia;0,89;0,47;494400,00;7,7;0,545;35558,00;114953,00;1,08;5,7
2006;RR;14;Roraima;0,83;0,68;157544,00;9,9;0,564;9737,00;30879,00;0,77;6,5
2006;RS;43;Rio Grande do Sul;0,98;0,79;5608002,00;6,9;0,515;143767,00;469409,00;0,88;7,1
2006;SC;42;Santa Catarina;0,98;0,84;3269041,00;5,2;0,465;24444,00;104763,00;0,7;7,3
2006;SE;28;Sergipe;0,89;0,72;961986,00;10,3;0,56;64801,00;194427,00;4,94;5,6
2006;SP;35;São Paulo;0,99;0,91;21337682,00;10,2;0,525;363710,00;1306899,00;0,69;7,8
2006;TO;17;Tocantins;0,81;0,21;631516,00;6,9;0,522;35245,00;109576,00;3,07;5,8
