"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","SIGLA_PARTIDO","SIGLA_UF","DESC_SIT_TOT_TURNO"
"109",50,1000000,"PSOL","PA","NÃO ELEITO"
"110",43,5000000,"PV","PA","NÃO ELEITO"
"111",15,20000000,"PMDB","PA","2º TURNO"
"112",28,20000000,"PRTB","PA","NÃO ELEITO"
"113",15,-1,"PMDB","PA","NÃO ELEITO"
"114",50,500000,"PSOL","PB","NÃO ELEITO"
"115",45,-1,"PSDB","PB","NÃO ELEITO"
"116",16,40000,"PSTU","PB","NÃO ELEITO"
"117",40,25000000,"PSB","PB","2º TURNO"
"118",40,-1,"PSB","PB","ELEITO"
"119",45,18000000,"PSDB","PB","2º TURNO"
"120",15,25000000,"PMDB","PB","NÃO ELEITO"
"121",90,10000000,"PROS","PB","NÃO ELEITO"
"122",50,500000,"PSOL","PR","NÃO ELEITO"
"123",15,30000000,"PMDB","PR","NÃO ELEITO"
"124",36,1000000,"PTC","PR","NÃO ELEITO"
"125",28,2000000,"PRTB","PR","NÃO ELEITO"
"126",44,2500000,"PRP","PR","NÃO ELEITO"
"127",45,36000000,"PSDB","PR","ELEITO"
"128",13,36000000,"PT","PR","NÃO ELEITO"
"129",16,25000,"PSTU","PR","NÃO ELEITO"
"130",21,120000,"PCB","PE","NÃO ELEITO"
"131",29,25000,"PCO","PE","NÃO ELEITO"
"132",16,50000,"PSTU","PE","NÃO ELEITO"
"133",40,19500000,"PSB","PE","ELEITO"
"134",50,350000,"PSOL","PE","NÃO ELEITO"
"135",14,30000000,"PTB","PE","NÃO ELEITO"
"136",13,5000000,"PT","PI","ELEITO"
"137",54,20000000,"PPL","PI","NÃO ELEITO"
"138",20,3000000,"PSC","PI","NÃO ELEITO"
"139",16,100000,"PSTU","PI","NÃO ELEITO"
"140",15,20000000,"PMDB","PI","NÃO ELEITO"
"141",50,100000,"PSOL","PI","NÃO ELEITO"
"142",29,1000,"PCO","PI","NÃO ELEITO"
"143",21,10000,"PCB","RJ","NÃO ELEITO"
"144",50,750000,"PSOL","RJ","NÃO ELEITO"
"145",13,60000000,"PT","RJ","NÃO ELEITO"
"146",22,25000000,"PR","RJ","NÃO ELEITO"
"147",15,-1,"PMDB","RJ","ELEITO"
"148",10,15000000,"PRB","RJ","2º TURNO"
"149",16,150000,"PSTU","RJ","NÃO ELEITO"
"150",15,85000000,"PMDB","RJ","2º TURNO"
"151",10,-1,"PRB","RJ","NÃO ELEITO"
"152",15,-1,"PMDB","RN","NÃO ELEITO"
"153",50,200000,"PSOL","RN","NÃO ELEITO"
"154",55,18000000,"PSD","RN","2º TURNO"
"155",17,1500000,"PSL","RN","NÃO ELEITO"
"156",55,-1,"PSD","RN","ELEITO"
"157",15,40000000,"PMDB","RN","2º TURNO"
"158",16,60000,"PSTU","RN","NÃO ELEITO"
"159",28,2000000,"PRTB","RS","NÃO ELEITO"
"160",12,10000000,"PDT","RS","NÃO ELEITO"
"161",13,15000000,"PT","RS","2º TURNO"
"162",21,15000,"PCB","RS","NÃO ELEITO"
"163",15,-1,"PMDB","RS","ELEITO"
"164",15,15000000,"PMDB","RS","2º TURNO"
"165",11,10500000,"PP","RS","NÃO ELEITO"
"166",50,400000,"PSOL","RS","NÃO ELEITO"
"167",13,-1,"PT","RS","NÃO ELEITO"
"168",33,-1,"PMN","RS","#NULO#"
"169",13,10000000,"PT","RO","NÃO ELEITO"
"170",50,500000,"PSOL","RO","NÃO ELEITO"
"171",45,25000000,"PSDB","RO","2º TURNO"
"172",45,-1,"PSDB","RO","NÃO ELEITO"
"173",15,-1,"PMDB","RO","ELEITO"
"174",15,25000000,"PMDB","RO","2º TURNO"
"175",22,20000000,"PR","RO","NÃO ELEITO"
"176",40,-1,"PSB","RR","NÃO ELEITO"
"177",40,10000000,"PSB","RR","2º TURNO"
"178",11,-1,"PP","RR","ELEITO"
"179",11,2000000,"PP","RR","2º TURNO"
"180",50,50000,"PSOL","RR","NÃO ELEITO"
"181",13,15000000,"PT","RR","NÃO ELEITO"
"182",44,12000000,"PRP","SC","NÃO ELEITO"
"183",50,500000,"PSOL","SC","NÃO ELEITO"
"184",45,30000000,"PSDB","SC","NÃO ELEITO"
"185",54,2000000,"PPL","SC","NÃO ELEITO"
"186",21,7000,"PCB","SC","NÃO ELEITO"
"187",13,10000000,"PT","SC","NÃO ELEITO"
"188",16,25000,"PSTU","SC","NÃO ELEITO"
"189",55,30000000,"PSD","SC","ELEITO"
"190",21,100000,"PCB","SP","NÃO ELEITO"
"191",45,90000000,"PSDB","SP","ELEITO"
"192",29,50000,"PCO","SP","NÃO ELEITO"
"193",13,92000000,"PT","SP","NÃO ELEITO"
"194",50,1000000,"PSOL","SP","NÃO ELEITO"
"195",28,6000000,"PRTB","SP","NÃO ELEITO"
"196",31,20000000,"PHS","SP","NÃO ELEITO"
"197",43,20000000,"PV","SP","NÃO ELEITO"
"198",15,95000000,"PMDB","SP","NÃO ELEITO"
"199",19,1000000,"PTN","SE","NÃO ELEITO"
"200",20,10000000,"PSC","SE","NÃO ELEITO"
"201",50,50000,"PSOL","SE","NÃO ELEITO"
"202",15,10000000,"PMDB","SE","ELEITO"
"203",54,20000000,"PPL","SE","NÃO ELEITO"
"204",50,4449000,"PSOL","TO","NÃO ELEITO"
"205",28,-1,"PRTB","TO","#NULO#"
"206",15,30000000,"PMDB","TO","ELEITO"
"207",77,20000000,"SD","TO","NÃO ELEITO"
"208",90,16000000,"PROS","TO","NÃO ELEITO"
"209",21,50000,"PCB","TO","NÃO ELEITO"
